Scheme Name,Details,Entities
Collaborative Research Scheme (CRS),"Launched by the All India Council for Technical Education, Collaborative Research Scheme (CRS) aims to provide financial support in the form of research grants to the young TEQIP faculties recruited in different Technical Education Quality Improvement Programme (TEQIP) institutes so as to collaborate for research and build research community.
﻿
Duration of the Project:
Duration of the project will be of One year from the date of receipt of funds in the institute’s account.
﻿
Processing Methodology:
The proposal shall be assessed by an expert committee constituted as follows:
Three members expert committee not below the rank of Associate Professor. Fourth member will evaluate if any of the three are not available.
At least two members among the experts shall be from the concerned stream.
﻿
Terms and conditions:
The Principal Investigator has the primary responsibility of the implementation of the project.
In case the Principal Investigator leaves the Institution without transfer of the project or goes on long leave, the Co- Principal Investigator 1 would be allowed to continue with the project, subject to the consent of the Principal Investigator and approval from AICTE. All such requests should be sent to AICTE in advance. Therefore, association of a Co- Principal Investigator-1 (Co-PI-1) as ref.1.2(d)in the project is mandatory.
In case the Principal Investigator leaves the Institute and there is no other associated Co-Investigator to carry out the project then the project will be terminated at that stage and PI along with Co-PI-1(From Host Institute) will submit Utilization Certificate. No further grant will be released.
The grant will be utilized strictly for the purpose as specified in the sanction letter. Re-appropriation of funds from one head to another is strictly not permitted; Recurring and Non-Recurring heads are 40% and 60% respectively of the total grant, unless otherwise recommended by TEQIP experts. The list of equipment decided by the experts will be final and no changes will be permitted subsequently.
Once the project is sanctioned, the Council shall not consider any request for additional grant.
Separate institutional overheads for execution of the project shall not be provided.
Out of the project grant, no funds can be used for going abroad to attend
Conferences/Seminars. However, for presentation a paper in a Seminar/Conferencewithin the Country, the travel expenses may be met out from the recurring component of the grant.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Distance Education Scholarship–Scholarship For Disabled Students Pursuing Degree, PG Courses","The scheme “Distance Education Scholarship–Scholarship for Disabled Students Pursuing Degree, PG Courses” was launched by the Department of Social Justice, Government of Kerala. Under the scheme, differently abled students pursuing Degrees, and PG courses through Open Universities, distance education, or Private registration (Universities inside Kerala) are eligible to apply for scholarships. The scholarship is being provided for meeting the expenses of Registration fee, Course fee, Tuition fee, Exam fee, Purchase of books, study materials, etc. Further, financial assistance will be granted only for the duration of the course concerned.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Kerala""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disabled"", ""differently abled""]}"
"""Subsidy to Pollution Control Equipment"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""","""Subsidy to Pollution Control Equipment"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, the units which are installing pollution control equipment will be granted subsidy @ 25% up to a max. of ₹5,00,000/-. The applications are accepted offline in the prescribed form available on the Official Website of the Department.","{""AGE"": [""1st April 2017""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""5,00,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Stipend to Educated Unemployed,"The Stipend to Educated Unemployed scheme was launched by the Social Welfare & Tribal Affairs Department, Government of Mizoram. Under this scheme, provides a stipend of ₹650 per month to assist 25 educated persons with disabilities who have registered in an Employment Exchange for over three years and have not been placed in gainful employment.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""650""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Kalinga Sikhya Sathi Yojana,"The ""
Kalinga Sikhya Sathi Yojana (KSSY)
"" is a scheme introduced by the the Department of Higher Education, Government of Odisha. It is an educational loan scheme for the students who want to pursue their higher studies. The objective of the scheme is to bring down the financial burden on the parents of the students who want to move forward with higher education. A student can get a maximum of ₹ 10 lakhs as an educational loan under this scheme. The applicants will have to pay only 1% interest on the loan amount. The balance amount of the interest will be borne by the Government of Odisha, Higher Education Department. All the courses like medicine, engineering, law, management, etc are covered under this scheme. The loan will be provided to economically weaker background student, who secures admission in any professional or technical course in any University or IIM or any educational institution set up by an Act of Parliament or by State Legislature.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Yojana""], ""OCCUPATION"": [], ""INCOME"": [""10""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Pay & Play Scheme,"The “Pay & Play Scheme” was launched by the Department of Sports & Youth Affairs, Government of Jharkhand. The scheme aims to provide state-level players with training and practice opportunities at the Mega Sports Complex, Hotwar, Ranchi. The scheme includes 11 sports disciplines: athletics, badminton, lawn tennis, table tennis, shooting, gymnastics, basketball, taekwondo, volleyball, wrestling, and swimming.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Hotwar"", ""Ranchi""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Rajiv Gandhi Gramin Bhoomihin Krishi Majdoor Nyay Yojana,"The objective of the scheme:-
To identify landless agricultural laborer families in Gram Panchayat and Nagar Panchayat and provide financial grants to landless agricultural laborer families on an annual basis.
To increase the net income of landless agricultural labor families through financial grants.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: EPF Reimbursement,"The ""Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic mega-industry sector, which significantly contributes to employment, GDP, and exports. Effective from October 5, 2022, to October 4, 2032, this initiative supports growth, investments, and the vision of ""Aatmanirbhar Gujarat"" and ""Aatmanirbhar Bharat.""
The component ""EPF Reimbursement"" offers financial support to eligible Mega Industrial Units in Gujarat by reimbursing the employer's contribution to the Employees’ Provident Fund (EPF) for new employees.","{""AGE"": [""October 5, 2022"", ""October 4, 2032""], ""GENDER"": [], ""LOCATION"": [""Gujarat"", ""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Pre-Matric Scholarships to the Children of Those Engaged in Occupations Involving Cleaning and Prone to Health Hazards,"Launched in the year 1977-78, the scheme ""Pre-Matric Scholarships to the Children of Those Engaged in Occupations Involving Cleaning and Prone to Health Hazards"" is a Scholarship Scheme by the Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment. The objective of the scheme is to provide financial assistance to children whose parents/guardians belong to one of the following categories, to pursue Pre-Matric education: Tanners, Flayers, Waste Pickers and Persons who are either presently engaged in Manual Scavenging.","{""AGE"": [""the year 1977-78""], ""GENDER"": [], ""LOCATION"": [""Manual Scavenging""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""Matric"", ""Matric""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,"The ""Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic large-industry sector, which significantly contributes to employment, GDP, and exports. Effective from October 5, 2022, to October 4, 2027, this initiative supports growth, investments, and the vision of ""Aatmanirbhar Gujarat"" and ""Aatmanirbhar Bharat.""
The component ""Assistance of Interest Subsidy"" provides financial support to large industrial undertakings by reimbursing a portion of the interest paid on term loans. This subsidy encourages industrial growth, expansion, and diversification by reducing borrowing costs for eligible projects.","{""AGE"": [""October 5, 2022"", ""October 4, 2027""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Assistance On Death Of The Unregistered Worker (HBOCWWB),"The scheme “Assistance on Death of the Unregistered Worker (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana. Under the scheme, financial assistance of ₹2,50,000/- is provided by the Board to the legal heir/dependent family member of an unregistered worker who dies in an accident at the workplace.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Ati Pichhada Varg Udyami Yojana,"The “Mukhyamantri Ati Pichhada Varg Udyami Yojana” is a component of the umbrella scheme “Mukhyamantri Udyami Yojana”, launched by the Department of Industries, Bihar. The main objective of the scheme is to promote entrepreneurship and self-employment among individuals from all categories in the state.
Under this component, financial assistance of up to ₹10,00,000/- is provided to male applicants from the General Category and Backward Class for establishing and operating business ventures, thereby fostering economic growth and empowerment in the state.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Bihar""], ""OCCUPATION"": [], ""INCOME"": [""up to \u20b910,00,000/-""], ""SOCIAL_CATEGORY"": [""General"", ""Backward Class""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
